Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
12 9,1 16	Εἰ γὰρ κριῶν πολεμικῶν προσβολὰς καὶ πᾶσαν ἐχθρῶν δύναμιν καὶ τέχνην ἱσταμένη διώκειν, ἀποδημεῖν ἐθιζομένη, πολλῷ πλέον ἄτακτον ὅπλον ἐπιμένοντα ἀπολέσει, φεύγοντα δὲ μέχρι παντὸς ἐπιδιώξει. Καὶ τελεία νῦν ἔσται μετὰ Ἀρχιμέδους καμοῦσα σοφία ἐπὶ τοῦ καλλινίκου καὶ αὐτοκράτορος ἡμῶν βασιλέως Ἀναστασίου, ὅτε τέως ἀπείρως ἔχων ὁ στρατιώτης ἐν ἀκινδύνοις μελέταις καταφρονεῖν τῶν πολεμίων ἐθισθήσεται.
12 10,1 t	Πῶς δεῖ ἄγρια ζῷα κυνηγεῖν βλάβης καὶ συμπτώματος καὶ συντριβῆς χωρίς; Τῆς κυνηγετικῆς ἐπιμελείας πολλὴν τοῖς στρατιώταις οὐ μόνον φρονήματος κίνησιν καὶ γυμνασίαν ἵππων, ἀλλὰ καὶ πεῖραν τάξεως πολεμικῆς προσφερούσης ἀναγκαῖον ἐν τοῖς ἐπιτηδείοις καὶ εὐκαίροις χρόνοις διὰ συνεχοῦς ἀσκήσεως αὐτὴν αὐτοὺς ἐκδιδάσκεσθαι, ὅταν καὶ τοὺς ἀγνοοῦντας δυνατόν ἐστιν εὐκόλως μανθάνειν καὶ τοὺς ὡς εἰκὸς σφαλλομένους ἀζημίως ἐπανορθοῦσθαι τὰ ἁμαρτήματα.
12 10,1 2	Θείας τοίνυν προνοίας καταστησαμένης εὐαίσθητα καὶ ταχύδρομά τινα καὶ ὑποηγουμένους εἶναι τῶν ἀγρίων ζῴων, ἁρμόδιόν ἐστιν μέτρῳ τινὶ καὶ τάξει καὶ στρατηγίᾳ τὰς κατ’ αὐτῶν ἐγχειρήσεις ποιεῖσθαι. Καὶ μήτε πολὺ βαθείας τὰς τάξεις τάσσειν, ἵνα μὴ ὡς κονδότεραι καὶ ὀλίγον διάστημα κρατοῦσαι μὴ δύνανται εὐκόλως τὰ κυνήγια περιλαμβάνειν, μήτε δὲ ἐπὶ πολὺ ἐκτεταμένας, ἵνα μὴ ὡς πολὺ τῶν καβαλλαρίων ..., ἵνα μὴ τῇ στενοχωρίᾳ μικρῶν ζῴων ὡς εἰκὸς ἐναποκλειομένων διὰ τῶν σκελῶν τῶν ἵππων διαλάθωσιν. Εἰ δὲ πεζοὶ οὔκ εἰσιν, ἐκ τοῦ ἐξωτέρου κύκλου τῆς παρατάξεως τῶν καβαλλαρίων ἐπαίρειν καὶ κατὰ τοῦτο τὸ σχῆμα ποιεῖν.
12 10,1 4	Τότε δὲ τὸν στρατηγόν, εἴτε ἐκ τῶν ἀρχόντων τοῖς ἐπιτηδείοις, εἴτε ἐκ τῶν στρατιωτῶν ἐπιτρέπειν ἐφ’ ἵππων τοξεύειν τὸ κυνήγιν καὶ μηδένα ἔξωθεν τῶν ἐπιτρεπομένων παρὰ τοῦ στρατηγοῦ θαρρεῖν ἐπελαύνειν τὸν ἵππον κατὰ τοῦ κυνηγίου. Εἰ δέ τοι βραδυτέρα ἐστὶν ἡ ὥρα, δυνατὸν διὰ τῶν πεζῶν πλέον τὸ μέσον διάστημα συστεῖλαι, ἐφ’ ὧ σκουταρίῳ ἐπὶ σκουτάριν εἰς ὕψος τιθεμένους σχεδὸν ἐκ χειρὸς κατασταλῆναι τὸ κυνήγιν.
12 10,1 6	Τούτων δὲ οὕτω καταστελλομένων, εἰ μὲν ἄξια λόγου ᾖ τὰ ἐμπίπτοντα, ταῦτα ἀναλόγως τοῖς τάγμασι μερίζειν εἰς τὸ πάντας κοινῶς τοῦ κόπου αὐτῶν ἀπολαύνοντας προθυμοτέρους γενέσθαι· εἰ δὲ οὐδενός εἰσιν ἄξια, κλήρῳ τινὶ διανέμειν τὰ εὑρισκόμενα. Φιλοτιμεῖσθαι δὲ καὶ τοῖς σκουλκάτορσιν, τουτέστιν τοῖς κατασκόποις ἐπιμελῶς διαγενομένοις. Αὕτη ἡ τάξις καὶ ἀπὸ φοσσάτου κινοῦντι στρατῷ κατὰ σύνταξιν καὶ πάλιν ἐπανερχομένῳ αὐτῷ ἐστιν ἐπιτηδεία, καὶ ὁδοιποροῦντι.
12 10,1 7	Οὐ μόνον γὰρ κατὰ τῶν κατοπτευομένων ζῴων ἐστὶν ἐπιτηδείᾳ, ἀλλὰ καὶ κατὰ τῶν ὡς εἰκὸς ἀδοκήτως ἐγειρομένων ἐν τῷ περιπατεῖν τὴν τάξιν. Μιμεῖται δὲ καὶ πολέμου τάξιν, ἣν καὶ Σκῦθαι ποιεῖν ἐπιτηδεύουσιν, ἀλλὰ μικρὰν βραδύτητα ἔχει καὶ διασυρμόν.
12 10,1 8	Χρὴ τοίνυν τοὺς πρώτως ἐπιτηδεύοντας τὴν τοιαύτην τάξιν μὴ παρ’ εὐθὺ κατὰ ζῴων δοκιμάσαι, ἵνα μὴ τῇ ἀπειρίᾳ ὡς εἰκὸς ἀστοχίας γενομένης μετὰ κόπον καὶ συντριβὴν εὐπεριφρόνητος ἡ τάξις φανῇ, ὡς ἀνωφελής, ἀλλὰ πρότερον διά τινων ὀλίγων καβαλλαρίων ὡς ἐν τάξει κυνηγίου ἀφορίζειν, ἵνα πρὸς αὐτοὺς δυνηθῇ ἡ τάξις τὰ μέτρα καὶ τὰς κυκλώσεις μαθεῖν εὐκόλως. Ἔστιν δὲ καὶ ἕτερος τρόπος τάξεως κυνηγικῆς ὡς ἡγούμεθα συντομώτερος καὶ εὐκολώτερος καὶ δι’ ὀλίγων καβαλλαρίων γίνεσθαι δυνάμενος, καὶ μάλιστα ἐπὶ τῶν προκατασκοπουμένων ζῴων.
12 10,1 10	Διαιρεῖται ὁ στρατὸς πρὸ μιᾶς τοῦ κυνηγίου ἡμέρας εἰς πέντε μοίρας, τουτέστιν εἰς τρίτην καὶ τετάρτην καὶ δεκάτην καὶ δωδεκάτην, καὶ τὸ μὲν τρίτον γίνεται μέσον μέρος, τὰ δὲ δύο τέταρτα πλάγια μέρη, καὶ τὰ δωδέκατα πλαγιοφύλακες. Ἐγγίζοντος οὖν τοῦ στρατοῦ ἐν τῷ ἐπιτηδείῳ τόπῳ, κατὰ τὸν προλεχθέντα τρόπον, καὶ σπουδαζόντων τῶν ὁδηγούντων κατασκόπων εἰς τὸ, ὅσον ἐνδέχεται ἐν τῷ καιρῷ τῆς παρατάξεως, κατὰ τὸ ἄντικρυς τοῦ μέσου μέρους εὑρεθῆναι τὸ κυνήγιν, καὶ μὴ παρὰ μέρος, τάσσεται πρῶτον τὸ μὲν ἓν μέρος ἐπὶ φάλαγγος, τουτέστι κατὰ στόμα ἤτοι μέτωπον· εἶτα ὅπισθεν αὐτοῦ τὸ δεξιὸν μέρος ἔχον τοὺς πλαγιοφύλακας ὑποτεταγμένους κατὰ τοῦ ἀριστεροῦ αὐτοῦ κέρους καὶ μετ’ αὐτὸ τὸ δεξιὸν ὁμοίως ἔχον τοὺς πλαγιοφύλακας ὑποτεταγμένους κατὰ τοῦ δεξιοῦ αὐτοῦ κέρους.
12 10,1 12	Ἐπιφθαζόντων δὲ τῶν κατασκόπων καὶ κρατούντων τὰ ἄκρα τῶν πλαγίων μερῶν, ἔνθα καὶ οἱ πλαγιοφύλακες τεταγμένοι εἰσιν, καὶ ἱσταμένου τοῦ μέσου μέρους ἐπὶ φάλαγγος, εὑροῦσιν ἴσως ταῦτα ὡς ἐν παραγωγῇ, τουτέστιν διὰ τῶν ἄκρων τοῦ μέσου μέρους, ὡς ἐπὶ τὸ κυνήγιν, ἅμα δὲ τοῦ τελείως ταῦτα παρελθεῖν, συνακολουθεῖ καὶ τὸ μέσον μέρος ἀδιασπάστως, ὥστε τὸ πᾶν σχῆμα τῆς τάξεως ταύτης τῶν στοιχείων γενέσθαι, τουτέστιν ἐπικάμπιον τάξιν. Μέχρι δὲ τοσούτου τὴν τάξιν περιπατεῖν οὕτως, μέχρις φθάσωσι τὰ κέρατα παρελθεῖν τὸ κυνήγιν καὶ ἐσωτέρω αὐτῶν τοῦτο ποιῆσαι.
12 10,1 13	Τούτου δὲ ἐσωτέρου γινομένου ὑπεξερχόμενοι οἱ πλαγιοφύλακες ἑκατέρωθεν καὶ ἐπὶ λόχον περιποιοῦντες ἀπαντῶσιν ἀλλήλοις ὀξυτέρᾳ κινήσει καὶ ἐμπεριλαμβάνουσι τὸν λείποντα τόπον, ὥστε τὴν πᾶσαν τάξιν σχῆμα γίνεσθαι πλινθίου τετραπλεύρου. Τοῦ κυνηγίου ἐναπολαμβανομένου γίνεται σφίγξις ἤτοι πύκνωσις τῶν τεσσάρων μερῶν ἤτοι τῶν ἐν αὐτοῖς καβαλλαρίων, πρῶτον τῶν πλαγίων μερῶν ὡς ἐπὶ πλαγιοφύλακας, συνακολουθοῦντος αὐτοῖς καὶ τοῦ μέσου μέρους, ὁμοίως καὶ τῶν πλαγιοφυλάκων συντιθεμένων αὐτοῖς δηλονότι καὶ ἁρμοζομένων τῶν πλαγίων μερῶν εἰς τὸ μὴ γενέσθαι κατὰ τὰ ἄκρα τινὰ διάστασιν καὶ λαθεῖν τὸ κυνήγιν.
12 10,1 16	Τῆς δὲ σφίγξεως δεόντως γινομένης σκοπουμένου τοῦ ἐπιτηδείου τόπου, ἔνθα τὸ κυνήγιν συστελλόμενον ἐπιτηδείως τοξεύεται, τότε τὰ μὲν δύο μέρη ἵστανται πεπυκνωμένα δεόντως, τὰ δὲ ἄλλα συστέλλονται ἤτοι βαθύνονται εἰς διάστημα τριῶν ἢ τεσσάρων σαγιττοβόλων καὶ κινοῦντα ἀπαντῶσι μακρᾷ τῇ ἀσυμφωνίᾳ, καὶ διασπάσει τῆς τάξεως ἐκρέουσιν καὶ ἀπόλλουσι ταῦτα. Ἐπαρκεῖ δὲ τοῖς γυμνοῖς καὶ ἀναπεπταμένοις τόποις ἕως ἑπτὰ ἢ ὀκτὼ μιλίων τὴν παράταξιν ἐκτείνεσθαι καὶ μὴ πλέον, ἐν δὲ τοῖς πλατυτέροις καὶ δασέσιν ἐπ’ ἔλλαττον τούτου τοῦ μέτρου.
12 10,1 18	Ἀναγκαῖον δ’ ἔστι καὶ τὸ μέτρον τῶν καβαλλαρίων ὁρίσαι, πόσους ἐπιδέχεται ἕκαστον μίλιν ἐν τάξει καὶ ἀνέσει ταγῆναι εἰς τὸ μὴ περιπατοῦντας συντρίβεσθαι ἢ συγχέεσθαι. Χωρεῖ οὖν ἕκαστον μίλιν ἄχρι ὀκτακοσίων ἢ χιλίων καβαλλαρίων. Χρὴ οὖν πρὸ μιᾶς ἡμέρας τοῦ κυνηγίου δι’ ὀλίγων σκουλκατόρων κατασκοπῆσαι τὸ κυνήγιν καὶ ἀκριβώσασθαι τὴν τοῦ τόπου θέσιν.
12 10,1 20	Παραγγεῖλαι δὲ τοῖς στρατιώταις διὰ τῶν ἰδικῶν αὐτῶν ἀρχόντων ταῦτα· ἐν τῷ καιρῷ τῆς παρατάξεως ἡσύχως καὶ ἀθορύβως διαγενέσθαι πάντας καὶ μηδένα τὴν τάξιν ἢ τὸν τόπον αὐτοῦ καταλιπεῖν, κἂν δυσχερὴς ἀπαντήσῃ τόπος, μηδένα ἐλάσαι τὸν ἵππον αὐτοῦ ἢ τοξεῦσαι ἀκαίρως, ἀλλ’, εἰ καὶ κινηθῇ κυνήγιν, ἐκεῖνον τοξεῦσαι τὸν ἐγγίζοντα αὐτὸ πρὸς μέτρον σαγίττας μένοντα ἐν τῇ τάξει αὐτοῦ καὶ τὸν τοξευόμενον πρὸς τὸν ἄρχοντα τοῦ τάγματος φέρεσθαι διὰ τῶν μανδατόρων καὶ μηδένα θαρρεῖν ἅπτεσθαι αὐτοῦ. ὡς, εἴγε δι’ ἀταξίαν τινὰ διαλυθῇ τὸ κυνήγιν, ἐπιτιμίῳ σωφρονισθήσεται ἐκεῖνος, δι’ οὗ ἀποφεύγειν τοῦτο δυνηθῇ.
12 10,1 22	Ἔμπροσθεν δὲ τῆς τάξεως μηδένα περιπατεῖν, εἰ μὴ τοὺς μεράρχας μετὰ τῶν ἰδικῶν αὐτῶν μανδατόρων καὶ τοὺς τῶν ταγμάτων ἄρχοντας μετὰ τῶν μανδατόρων αὐτῶν, ὀφείλοντας τοὺς μὲν μεράρχας· τοὺς ἰδικοὺς μανδάτορας δι’ ὅλου τοῦ διαστήματος ἑκάστου μέρους διανεῖμαι καὶ τὰ παρὰ τοῦ στρατηγοῦ μανδάτα καὶ τῶν κατασκόπων ἐκ διαδοχῆς μεταδοῦναι τοὺς τῶν ταγμάτων ἄρχοντας ἀπευθύνειν καὶ τάσσειν τὰ ἰδικὰ τάγματα. Τῇ δὲ ἡμέρᾳ τοῦ κυνηγίου πρὸ δύο ὡρῶν τῆς ἡμέρας ὁπλιζόμενον τὸν στρατὸν κούφοις ὅπλοις, τοτέστι τόξοις, καὶ τοὺς ἀπείρους τοξείας, κονταρίοις, κινῆσαι ἐπὶ τὸ κυνήγιον, τῶν σκουλκατόρων τῶν μὲν ἐπὶ κατασκοπῇ τοῦ κυνηγίου προλαμβανόντων, τῶν δὲ ὁδηγούντων τὸν στρατὸν, ἐγγιζόντων τοῦ κυνηγίου, ὥστε ἀπὸ τριῶν ἢ τεσσάρων μιλίων ἐν ἐπιτηδείῳ καὶ ἀφανεστέρῳ τόπῳ ἄρξασθαι τῆς τάξεως καὶ μὴ πολὺ ἐκ τοῦ πλησίον, ἵνα μὴ τῇ τοῦ ἀνέμου καὶ τῇ τοῦ στρατοῦ κινήσει ὀσφραινόμενα τὰ ζῷα, ὥς εὐαίσθητα, πρὸ πολλοῦ τῆς τάξεως ἀναχωρήσουσιν.
12 10,1 24	Τάσσεται δὲ ὁ στρατὸς ἐπὶ φάλαγγος ἐν τρισὶ μέρεσιν, τουτέστιν μέσῳ, δεξιῷ καὶ ἀριστερῷ, μετὰ τῶν πλαγιοφυλάκων ὑποτεταγμένων τοῖς κέρασι τῆς παρατάξεως ἐκ τοῦ πλησίον. Τὸ δὲ βάθος τῶν ἀκιῶν, ὡς εἴπαμεν, πρός τε τὸ πλῆθος τοῦ στρατοῦ καὶ τὴν θέσιν τοῦ τόπου ἤτοι τὸ διάστημα· εἴτε ἀπὸ τεσσάρων, εἴτε ἀπὸ δύο, εἴτε καὶ ἑνὸς καβαλλαρίου.
12 10,1 26	Ἐπιφθαζόντων δὲ τῶν καβαλλαρίων καὶ ὁδηγούντων τὰ κέρατα τῆς τάξεως, δι’ ὧν τὴν κύκλωσιν δεῖ γενέσθαι τοῦ κυνηγίου εἰς τὸ ἐμπεριληφθῆναι αὐτῷ καὶ, εἰ μὲν ἡ τάξις πρῶτον ἐπ’ εὐθέτῳ σχήματι ἐπὶ φάλαγγος, ἐγγίζοντος δὲ τοῦ κυνηγίου καὶ ἀναφαινομένου αὐτοῦ ἄρχεσθαι προκόπτειν τὰ κέρατα καὶ μηνοειδοῦς γινομένης τῆς τάξεως τοσοῦτον κατὰ μικρὸν συνάπτεσθαι ἀλλήλοις τὰ κέρατα, ὅσον ἐσωτέρω γίνεται τῆς τάξεως τὸ κυνήγιν εἰς τὸ ἐμπεριληφθῆναι αὐτό. Σφοδροῦ δὲ ὡς εἰκὸς ἀνέμου πνέοντος, τὸ κέρας τὸ πρὸς τὸν ἄνεμον μήκοθεν τοῦ κυνηγίου τὴν πάροδον ποιεῖσθαι, ἵνα μὴ ἐκ τῆς ὀσμῆς αἰσθόμενον τὴν τούτου κίνησιν, πρὶν ἢ ἐμπεριληφθῆναι αὐτό, ὑποχωρήσει.
12 10,1 28	Εἰ μέντοι ταρασσόμενον τὸ κυνήγιν, πρὶν ἢ φθάσαι τὰ κέρατα συναφθῆναι, ὁρμήσει διὰ τοῦ λείποντος τόπου διαλαθεῖν καὶ ἐκφυγεῖν τότε τοὺς πλαγιοφύλακας ἑκατέρωθεν τῶν κεράτων ἐπεξερχομένους ἀπαντᾶν ἀλλήλοις ὀξυτέρως ἐπὶ λόχου περιπατοῦντας, τουτέστιν κατὰ τὴν τῶν κεράτων ὁρμὴν καὶ ἀναπληροῦν τὸν λείποντα τόπον, ὥστε ἔσωθεν τῆς τάξεως ἐναποληφθῆναι τὸ κυνήγιν. Τούτου δὲ ἀπολαμβανομένου τὰ κέρατα τῆς τάξεως ὑπαντῶντα ἑαυτοῖς ἀντιπαρέρχεσθαι ἀλλήλοις· καὶ τὸ μὲν δεξιὸν κέρας ἐσωτέρω γίνεσθαι, τὸ δὲ ἀριστερὸν ἐξωτέρω.
12 10,1 30	Καὶ ἑλικοειδῶς κινουμένων ἀμφοτέρων, κατὰ μικρὸν συστέλλειν τὸ κυνήγιν καὶ σμικρύνειν τὸ ἐν τῷ μέσῳ διαστήματι τῆς τάξεως, ὡς μέχρι ἑνὸς ἢ δευτέρου μιλίου τὴν πᾶσαν περιαγωγὴν γενέσθαι, εἴτε δύο ἢ καὶ πλέον κύκλοι ἀπαντήσουσιν εἰς τὸ καὶ συντόμως χειροῦσθαι τὸ κυνήγιν καὶ τοὺς τοξεύοντας μὴ βλάπτεσθαι ὑπὸ ἀλλήλων ἐκ τῆς τοῦ τόπου στενοχωρίας. Τοῦ δὲ διαστήματος συστελλομένου κατὰ τὸν λεχθέντα τρόπον, εἰ μέν εἰσίν τινες τῶν πεζῶν, αὐτοὺς εἰσάγειν μετὰ τῶν σκουταρίων αὐτῶν πεζῇ ἔσωθεν ἐν τῷ περιληφθέντι διαστήματι καὶ ἱστᾶν σύσκουτα ἔμπροσθεν ἀλλήλοις ἁρμοζομένων καὶ συσφιγγομένων αὐτοῖς κατὰ τὰ ἄκρα καὶ τῶν ἄλλων μερῶν, ὡς πολλάκις εἴπαμεν· συστελλόμενον δὲ τὸ λεχθὲν μέρος τοῦ κυνηγίου τότε προβαίνουσιν.
