Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 1203b	πρόβατ’] τρελοί Chis(paraphr.), ἁπλούστατα καὶ εὐηθέστατα Reg, κοῦφοι Cant.2, ἀνόητοι Lb, μάταιοι (Cang).
book 1203c	ἄλλως] ματαίως Cant.2lh (= sch.vet. 1203a), κατὰ ἄλλον τρό‐ πον Chalc.
book 1203d alpha	ἀμφορεῖς νενησμένοι] ἀγγεῖα πεπληρωμένα (cf. sch.vet. 1203b) Chis(paraphr.; add. mrg. λέγει δὲ τοῦτο διὰ τὸ εἶναι λίαν πλουσίους), ἀγγεῖα Vah ἐστερημένα οἴνου lh ἤγουν φρονήσεως Lb (νενοισμ–] lb, γρ. νενησμένοι Harl.5).
book 1203d beta	νενοισμένοι] σεσαθρωμένοι Chalc; νενησμένοι] ἐμπεπλησμένοι A.
book 1203e	νενασμένοι] ναίω, νήω ἢ νάσσω· μέλλων νάσω· νένακα, νένασμαι, νενακὸς ἡ μετοχή Vict (cf. Et. M. 587, 5 νάσσω, ὁ μέλλων νάσω, νένασμαι; etiam Hesch. Ν 33 et 448).
book 1205a	τελευταῖος ... ἰάμβων Reg(int.) (= Tr 1205b).
book 1205b	ἐπ’ εὐτυχίαισιν] ἕνεκα τῶν εὐτυχιῶν Cr.
book 1205c	ᾀστέον] λεκτέον Chis(paraphr.) A, ἄξιον εἰπεῖν l.
book 1205d	ἐγκώμιον] ἔπαινον VaChalc.
book 1205e	“ᾀστέον με ἐγκώμιον”, καὶ κράσει τῶν δύο ε ε εἰς τὴν ου δίφθογγον “ᾀστέον μουγκώμιον”.
book 1206a	τοῦ παρόντος χωρίου τὰ κῶλα ηʹ· τὸ αʹ μονόμετρον ὑπερκατάληκτον ἐξ ἀναπαίστου, δακτύλου καὶ συλλαβῆς· τὸ βʹ ὅμοιον, ἐκ παλιμβακχείου, ἀμφιμάκρου καὶ συλλαβῆς· τὸ γʹ ἰαμβικὸν δίμετρον ἀκατάληκτον· τὸ δʹ μονό‐ μετρον ὑπερκατάληκτον ἐκ παλιμβακχείου, δακτύλου καὶ συλλαβῆς· τὸ εʹ ἰαμβικὸν δίμετρον καταληκτικόν· τὸ Ϟʹ δίμετρον ἐξ ἀμφιμάκρου, βακχείου, ἰάμβου καὶ ἀμφιμάκρου· τὸ ζʹ ἀναπαιστικὸν δίμετρον ἀκατάληκτον· τὸ ηʹ μονόμετρον ἐκ βʹ ἀμφιμάκρων. ἐφεξῆς δὲ ἰαμβικοὶ τρίμετροι ἀκατάληκτοι στίχοι πθʹ, ὧν τελευταῖος αὐτοῖς τροχοῖς τοῖς σοῖσι καὶ ξυνωρίσιν.
book 1206a	ἔστι δὲ διὰ μέσου κῶλον ἓν δίμετρον ἰαμβικὸν βραχυκατάληκτον, ὃ καὶ σημειοῦ‐ ται ἡμῖν ἐκεῖσε.
book 1206b	ἐγκωμιάζων αυ[***] τὸ “μάκαρ Στρεψίαδες” Chis(mrg.; suppl. αὐτὸς ἑαυτὸν λέγει); ὦ Στρεψίαδες] ἐγκωμιάζων αὐτὸς ἑαυτόν Ba.
book 1206c	μάκαρ] εὐδαίμων Lb, μακάριε Vah.
book 1206d	“Στρεψίαδες” παίζων εἴρηκεν· ἔστι γὰρ ἡ κλητικὴ “ὦ Στρε‐ ψιάδη”, οὐ “Στρεψίαδες”.
book 1206e	Στρεψίαδες] ὡς ἀγροῖκός φησι “Στρεψίαδες”. βάρβαρον γάρ ἐστι· “Στρεψιάδη” γὰρ ὤφειλεν εἰπεῖν.
book 1207a	ἔφυς] ἐγένου Chis(paraphr.) Cant.2h, ἐγεννήθης ParChalc.
book 1207b	ὡς] καθά, ἐπεί Lb.
book 1207c	σοφὸς] συνετός h.
book 1208a	οἷον] θαυμαστικόν Chis(paraphr.), θαυμαστόν Par, μέγαν Chis (paraphr.) Cr, ὁποῖον Cant.2lChalch.
book 1208b	(τρέφεις ⸓) γρ. ἐκτρέφεις Va.
book 1209	φήσουσί] λέξουσι Cant.2LbChalcb, ἐροῦσι Va.
book 1210a	οἱ δημόται] οἱ τοῦ δήμου Chis(paraphr.) Lb ἄνθρωποι Lb, συνδη‐ μόται Cr, πολῖται Vah, συντοπῖται Chalc.
book 1210b	δημότης ὁ τοῦ δήμου ἄνθρωπος· ἐνταῦθα δὲ οἱ δημόται ἤγουν ἐκ τοῦ αὐτοῦ καὶ ἑνὸς δήμου ὄντες ἐμοὶ ἄνθρωποι Lb(mrg.).
book 1210c	ζηλοῦντες] ἐπαινοῦντες l.
book 1211a	λέγων] διαλεγόμενος Lb, κατηγορῶν Chalc.
book 1211b	τὰς δίκας] κατὰ τὰς Chis(paraphr.)Chalc κρίσεις Chis(paraphr.) Cant.2Chalc.
book 1212	εἰσαγαγών] εἰσκομίσας Lb, εἰσάξας Va, εἴσω ἄξας b.
book 1213	ἑστιᾶσαι] ἀριστῆσαι Cant.2, εὐωχῆσαι l.
book 1214a alpha	1214] πρὸς τὸν μάρτυρα συντυχαίνει ὁ δανειστής Chis.
book 1214a beta	ἐρχόμενος ὁ δανειστὴς μετὰ κλήτηρός φησι ταῦτα Cr(mrg.).
book 1214a gamma	ἔοικε τοῦτο λέγειν ὁ δανειστὴς πρός τινα, ὃν ἦξε δῆθεν ὡς μάρτυρα, πρὸς ὃν διαλέγεται h(mrg.).
book 1214b	εἶτ’] τὸ “εἶτα” ἀργὸν κατὰ Ἀττικούς Chis, λοιπόν Cr.
book 1214c	τῶν] χρημάτων Cant.2, πραγμάτων lh A.
book 1214d	προϊέναι] ἐκφέρειν καὶ διδόναι πρὸς ἕτερον Reg, ἐκβαλεῖν Cr, ἀφεῖναι Harl.5(m2).
book 1215a	κρεῖττον] κάλλιον LbChalc.
book 1215b	εὐθὺς] παραυτίκα Chis(paraphr.), παρευθύς Lb, εὐθέως Chalc.
book 1216a	ἀπερυθριᾶσαι] τὴν αἰδῶ ἀπορρίψαι ἐκ τοῦ μὴ δοῦναι δάνειον [μὴ δόντα δάνειον] Chis(int. ἀπερυθριάσαι ⸓) Reg, ἐντραπῆναι CrChalc, ἀπο‐ διεντραπῆναι Cant.2, ἀποτροπιάσασθαι Lb, αἰσχυνθῆναι Lbb, ἀπολογιάσαι Lb, ἐρυθρὸν γενέσθαι τῇ αἰδοῖ Va (–ᾶσαι] RegCr).
book 1216b	σχεῖν] παρασχεῖν Chis(paraphr.).
book 1216c	πράγματα] ὀχλήσεις ἐν τῇ ἀποτίσει Reg (cf. Th1/2Tr1/2 1216c), ἐνοχλήσεις b, πόνους A.
book 1217a	ὅτε] ἐπεί Crlh (ὅτι] Ho), ἐπειδή Chalc.
book 1217b	νυνὶ p.i.m.] τὸ “νυνί” ἐπὶ ἐνεστῶτος, τὸ δὲ “νῦν” ἐπὶ ἐνεστῶτος, παρῳχημένου καὶ μέλλοντος Cr, κατὰ τὸ παρόν Cant.2.
book 1217c	χρημάτων] πραγμάτων Lb, νομισμάτων Chalc.
book 1218a	ἔοικεν ὁ Πασίας τινὰ ἐκ ... (1) ἔχων μεθ’ ... (2) μή, διὰ τούτου ἐνεχυράσῃ αὐτόν· πρὸς ὃν λέγει ταῦτα.
book 1218b	ἕλκω] σύρω CrCant.2lChalch, ἀναγκάζω Cant.2.
book 1218c	κλητεύσοντα] ἐγκαλέσοντα Cant.2, ἐγκληθησόμενον Lb (ἐκλη–]), ἐγκαλούμενον Chalc (ἐγκλη–]), κλῆσιν {ὑπομενοῦντα}· καλέσοντα πρὸς τὸ δικαστήριον b.
book 1218d	κλητεύω τὸ “καλῶ τινα εἰς δικαστήριον”. ἐνταῦθα δὲ τὸ ἐνεργη‐ τικὸν ἀντὶ παθητικοῦ ἐκληπτέον, ἤτοι ἐγκλητευσόμενον Lb(mrg.).
book 1219a	ἀνδρὶ] σοι LbChalc.
book 1219b	δημότῃ] ἀπὸ τοῦ αὐτοῦ δήμου Chis(paraphr.; = sch.vet. 1219a), συνδημότῃ Cr, συντοπίτῃ Cant.2Chalc, πολίτῃ Lbh ὄντι ἤγουν τῷ Στρεψιάδῃ h, ἐκ τοῦ αὐτοῦ δήμου ὄντι Va.
book 1219c	διαβάλλει τοὺς Ἀθηναίους ὡς φιλοδίκους Cr(mrg. δημότῃ ⸓).
book 1220a	λαμβάνεται πολλάκις τὸ ὅλον ἀπὸ μέρους, ὡς ἐνταῦθα Va· “οὐδέ‐ ποτε”, φησί, “καταισχυνῶ τὴν πατρίδα Lb” ἤγουν [ἤτοι] αἰσχυνθῆναι ποιήσω “ζῶν”, διότι δηλονότι Lb, εἰ ἀπεντεῦθεν Lb ἕλξω σε εἰς τὸ δικαστή‐ ριον κατὰ νόμους μὴ βουλόμενον ἀποδοῦναί μοι τὰ ἐμά, οὐκ αἰσχυνῶ τὴν πατρίδα, εἰ δὲ μὴ ἕλξω, αἰσχυνῶ αὐτήν· δόξω γὰρ εἶναί τις ἀνωφελὴς καὶ ἀσύνετος καὶ τῶν ἐμῶν προδότης Lb.
book 1220a,c2	οὐ καταισχυνῶ ἐμαυτὸν καὶ διὰ τοῦτο οὐδὲ τὴν πατρίδα· φανήσομαι γὰρ οἷον ἀνωφελὴς καὶ προδότης τῶν ἐμῶν Va.
book 1220b	καταισχυνῶ] ἄτιμον ποιήσω Chis(paraphr.), μέλλω καταισχυνεῖν Cr, ἐντροπιάσω Cant.2, αἰσχυνθῆναι ποιήσω lh, ἐντρέψω Chalc.
book 1221a	παρεπιγραφή, ὅτι ἔκρουσεν Cr(mrg. τίς ⸓).
book 1221b	καλοῦμαι] καλῶ Chis(paraphr.) Pa σε Pa, προκαλοῦμαι lh, ἀπαιτῶ Chalc.
book 1221c	τὸ καλοῦμαι παθητικῶς δικαστικὴ λέξις ἐστίν, ὡς δηλοῖ τὸ παρόν.
book 1222a	ἐς ... νέαν] καλῶ σε ἐλθεῖν ChisReg ὥστε ἀποδοῦναι Chis, ἦλθον καλέσας σε Cr, ἀπαιτῶ Chalc, ἐλθέ A.
book 1222b	μαρτύρομαι] μάρτυρας ποιῶ ὑμᾶς Cr, εἰς μαρτυρίαν ἐπικαλοῦμαι Cant.2, μάρτυρας τίθεμαι l, μαρτυρίας ποιῶ h.
book 1223a	τὸ ... λέγει [τουτέστιν ὅτι] μίαν ... ὀφείλων [θέλων] εἰπεῖν (2) δύο ἀντὶ ... εἶπεν. [διὰ ... ἀντὶ ... εἰπών.]
book 1223b alpha	ὅτ’ ... εἶπεν] εἰς ἔνην τε καὶ νέαν, ἥτις ἐστὶ μία ἡμέρα Cr, ὅτι εἰς δύο εἶπε καὶ b προκαλεῖταί με ἡμέρας h (ὅτι]).
book 1223b beta	εἶπεν] καλεῖσθαι Chalc.
book 1223c	τοῦ χρήματος] ὑπὲρ τίνος χρήματος· ἢ βαβαὶ ἕνεκα τοῦ χρήματος (cum hoc cf. sch.vet. 1223c) Chis(paraphr.), ἕνεκα τίνος πράγματος Cant.2 (cf. Tz 1223a, l. 16), ἕνεκεν LbChalch τίνος lChalch πράγματος lh χάριν Va.
book 1224a	μνῶν] λιτρῶν CrCant.2Lbb.
book 1224b	τῶν p.i.m.] ἕνεκα. τοῦτο δὲ πρὸς τὸ “τὴν ἕνην καὶ νέαν” σύναπτε· ἃ δὲ λέγει ὁ Στρεψιάδης, διὰ μέσου ἐστίν.
book 1224c	ὠνούμενος] ἀγοράζων CrCant.2 PalChalcb.
book 1225a alpha	ψαρὸς εἶδος χρώματος· ἢ ταχὺς ἀπὸ τοῦ ψαίρειν, τουτέστι κινεῖν.
book 1225a beta	τὸν ψαρὸν ἵππον: ἤτοι τὸν ταχύν, ἀπὸ τοῦ ψαίρω τὸ ταχύνω.
book 1225b	ψαρὸν] ποικίλον Pa (M11m9) ἢ σποδοειδὲς ἢ (M11) ταχὺν ParCr Lb (M11) ἀπὸ τοῦ ψαίρειν (M11) (cum primo et tertio cf. sch.vet. 1225b et Tz 1225a, primum + alterum = Hesch. Ψ 72), τὸν ψ ἔχοντα lChalc σημεῖον l, λευκόν b.
book 1225c	τὸν ψαρὸν ἵππον] τὸ σισθλάκιν (sic clare) Cr.
book 1225d alpha	οὐκ ἀκούετε] τοῦ δανειστοῦ λέγοντος Chis(paraphr.), ὦ ἀκρο‐ αταί Cant.2, ἐμὲ Lb ὠνήσασθαι με λέγειν b ἵππον Lbb, αὐτὸν διαβάλλοντά με (D).
book 1225d beta	οὐκ ἀκούετε τοῦτον, τὸν λέγοντα ὠνήσασθαί με ἵππον κτλ.
book 1227	ἐπώμνυς] ὤμνυες Cant.2 Ba(m2).
book 1228a	μὰ τὸν Δί’] οὐ δῆτα Chis δώσω σοι A δηλονότι Chis A· οὔπω γὰρ τότε, ὅτε ὤμνυον δηλονότι, ὡς λέγεις, ἐξηπίστατο ὁ Φειδιππίδης μου κτλ. Chis(paraphr.) (cf. 1228b Tr1) (μὰ Δί’]A).
book 1228b	πω] ἀκόμι Cant.2, ἀκμήν Va.
book 1228c	ἐξηπίστατο] ἀκριβῶς Cant.2 ἐγίνωσκε CrCant.2lChalc, ἦν μαθών h.
book 1229a	μοι] μου ChisCr.
book 1229b	τὸν ἀκατάβλητον] τὸν μὴ καταβάλλοντά τι ἤτοι διδόντα Cr, τὸν ἀκαταπόνητον Cant.2, τὸν ἀκαταγώνιστον LbChalc A, τὸν ἰσχυρόν b.
book 1230a	ἔξαρνος] ἀρνούμενος lChalch, ἐξαρνούμενος Vict.
book 1230b	ἔξαρνος: δοκεῖ μὲν ἡ ἐξ δηλοῦν τὸ ἔξω καὶ χωρίς, οἷον ἔξαρνος ἀντὶ τοῦ ἔξω ἀρνήσεως· οὐχ οὕτω δέ, ἀλλὰ μᾶλλον ἐπίτασιν δηλοῖ h(mrg.).
book 1230c	διανοῇ] θέλεις Chis(paraphr.), λογίζει Cr, συλλογίζῃ Cant.2, διαλογίζῃ Lb, ἐνθυμῇ lChalch.
book 1231a	τί] κατά Chis(paraphr.)lChalc, εἰς Reg.
book 1231b	γὰρ] καί Chalc.
book 1231c	ἀλλ’ ἂν] γρ. ἄλλο γ’ Cant.2 (sequitur ἀπολαύσαιμι).
book 1231d	ἀπολαύσαιμι] ἐπιτύχοιμι Cant.2.
book 1232a	ταῦτ’] διά Va, κατά Chalc.
book 1232b	ἐθελήσεις] νεύσειας Cr.
book 1232c	ἀπομόσαι] ἐπομόσαι Reg (= Th 1232).
book 1232d	ἀπομόσαι] ὀμόσαι Chis(paraphr.) Cr μοι ὡς ἐγὼ προστάξω Cr.
book 1232e	μοι] πρὸς ἐμέ Chis(paraphr.), χάριν ἐμοῦ Cant.2.
book 1233	κελεύσω] ὁρίσω Cant.2, εἴπω LbChalc, προστάξω lh.
book 1235a alpha	δώσω σοι ἂν καὶ τρεῖς ὀβολούς, εἰ ὀμώσω (sic) καταφρονῶν δὲ τῶν θεῶν εἴρηκε τοῦτο Cr(mrg.).
book 1235a beta	μὰ τὸν Δία l, καὶ προκαταθείην ἂν ἤτοι προκαταβάλλοιμι νόμισμα h τριώβολον ὥστε ὀμόσαι με τοὺς θεούς. [αὐτούς.] οὐδὲν γάρ μοι μέλει περὶ αὐτῶν h.
book 1235b	κἂν] καί Cant.2.
book 1235c	προσκαταθείην] ἐφ’ οἷς λέγεις, δοίην τριώβολον ὥστε ὀμόσαι Chis (paraphr.), χαρίσαιμι Cr, δώσαιμι Cant.2, προκαταβάλοιμι l, προκαταβάλ‐ λοιμι h, δοῦναί με (ut vid.) A (de text. cf. 1235aβ).
book 1235d	ὀμόσαι] σύναπτε τὸ “ὀμόσαι” τῷ “νὴ Δία” Reg, αὐτούς lh με h.
book 1235e	ὀβολὸς μὲν ἔχει τὸ ο μι‐ κρόν, τριώβολον δὲ μέγα· τὸ γὰρ α καὶ ο εἰς ω μέγα κίρναται· “τριαόβο‐ λον” γάρ ἐστιν, καὶ κατὰ συναίρεσιν τοῦ αο εἰς ω μέγα “τριώβολον”.
book 1235e,c2	ὀβολὸς μὲν οὖν γράφεται διὰ τοῦ ο μικροῦ, τριώβολον δὲ διὰ τοῦ ω μεγάλου· γίνεται γὰρ ἀπὸ συναιρέ‐ σεως, διότι “τριαόβολον” ἐστί, καὶ τροπῇ τοῦ α καὶ ο εἰς ω μέγα “τριώ‐ βολον”.
book 1235f	τριώβολον] νόμισμα h, τρεῖς ὀβολούς Va.
book 1236a	ἀπόλοιο κτλ.] ἄμποτε ἵν’ ἀπολεσθείης ἕνεκεν τῆς ἀναισχυντίας Cr, εἴθε φθαρείης ἕνεκεν τῆς ἀναισχυντίας, ἣν φαίνῃ ἔχων, καὶ ἐκ ταύτης κατα‐ φρονεῖς HoHarl.5(mrg.).
book 1236b	ἀναιδείας] ἀναισχυντίας lChalcb.
book 1236c	ἔτι] εἰς τὸ ἑξῆς CrHo, περισσόν Pa.
book 1237a	τὸ “ἁλσὶ διασμηχθεὶς οὐ μόνον νοεῖται, ὡς εἴπομεν, ἀλλὰ καὶ ὡς παχύδερμον(,) κἀντεῦθεν ἀνέστη τὸν αὐτὸν διαβάλ‐ λων, καὶ τούτου χάριν φησὶ χρῆναι τοῦτον
book 1237a,c2	ἢ ὅτι διαβάλλει αὐτὸν καὶ διὰ τοῦτο ἀναίσθητον· φησὶ γὰρ τούτου χάριν δέον εἶναι τοῖς
book 1237a	ἁλσὶ διασμηχθῆναι· τὰ γὰρ παχέα τῶν δερμάτων ὑπὸ πιμελῆς ἁλσὶ μαλαττό‐ μενα εὐρύτερα γίνονται καὶ πλείονα χωροῦσιν. διὰ τοῦτο εἴρηκε καὶ τὸ “ἓξ χοᾶς [χόας] χωρήσεται.”
book 1237b	τοῦτό φησιν ὁ Στρεψιάδης διὰ τὸν δανειστήν, ὅτι πολύκρεως ἦν, ὅτι ἐὰν τὸν ἁλατίσωσιν, ἵνα ὠφεληθῇ Cr(mrg. ἁλσὶ ⸓).
book 1237c	ἀπὸ τῶν ἀσκῶν, οἵτινες ἁλσὶ διακλυζόμενοι διαρκοῦσι καὶ ἐπιδι‐ δόασι· καὶ δῆλον ἐξ ὧν ἐπήγαγεν “ἓξ χοὰς χωρήσεται.”
book 1237d	ἁλσὶ] ἐν ἅλατι Cr, διὰ ἁλῶν LbChalc.
book 1237e	διασμηχθεὶς: σμήχω τὸ καθαίρω, η· σμίχω δὲ τὸ καίω, ι.
book 1237f	ὄναιτ’] ὠφελοῖτο Vat(m.rec.), νὰ Cr ὠφεληθείη CrCant.2lChalcb.
book 1238a alpha	ὡς καταγελᾷς] ὡς ἔοικε γελᾷς Cr.
book 1238a beta	καταγελᾷς] ἐμοῦ l, ἐμέ Chalch.
book 1238b	ὡς δαιμονῶντος διαβάλλει καὶ παχυδέρμου.
book 1238c	ἓξ χοᾶς: ἦν παρ’ Ἀττικοῖς εἶδος μέτρου, δι’ οὗ ἐμέτρουν τὸν οἶνον· τὸ αὐτὸ δὲ ἐλέγετο καὶ “χοεύς”, ὃ κλίνεται (1) ... (2) φησὶν ὁ αὐτὸς οὗτος Chis Ἀριστοφάνης· ἔνεγκε ... χοᾶ. εἴρηκε δὲ τοῦτο ἐν τῷ αὐτῷ δράματι ὁμοίως οὐχ ἅπαξ, ἀλλὰ πολλάκις. (4) ἐνταῦθα οὖν εἰ εὕρηται “χοᾶς” περι‐ σπωμένως, [, περισπᾶσθαι ὀφείλει ὡς] ἐκ τοῦ “χοεύς” ἐστιν. ὀφείλων δὲ εἰπεῖν “χοεῖς” ὡς “Πηλεῖς”, “χοᾶς” εἴρηκε παίζων ὡς κωμικὸς κατὰ (4) ... ἄδειαν.
book 1238c,c2	ἡ αἰτιατικὴ τῶν πληθυντικῶν “χο‐ εῖς”. οὗτος δὲ ὡς κωμικὸς παίζων εἴρηκε τοῦτο “χοᾶς”.
book 1238c	ἐπεὶ δὲ ἔν τισι τῶν ἀντιγράφων εὕρηται “χόας”, δηλονότι ἀπὸ τοῦ “χοῦς” κλίνεται [γίνεται], ὡς ἀπὸ τοῦ Reg “βοῦς” “βόας”.
book 1238d	χόας] γρ. χοᾶς Reg.
book 1238e alpha	ἐὰν τὸν ἐκδείρωσι, χωρήσεται ἓξ χοὰς τὸ δέρμα αὐτοῦ Cr(mrg.).
book 1238e beta	χωρήσεται] τὸ δέρμα αὐτοῦ Cant.2lChalcb.
book 1239	θεοὺς] ἄλλους Cant.2.
book 1240a	παρεπιγραφή M9(mrg.) (cf. sch.vet. 1240b in.).
book 1240b	τὸ “προΐξῃ” [“καταπροΐξῃ”] μεταφορικῶς λέγεται ... τινῶν κατὰ τὴν ὁδόν Reg, καὶ κανονίζεται οὕτως· [ἀπὸ τοῦ] ἥκω τὸ ἔρχομαι, ὁ μέλ‐ λων ἥξω καὶ ὁ μέσος μέλλων αʹ Chis ἵξομαι ἵξῃ. γράφεται δὲ διὰ τοῦ ι, ὅτι τοῦ “ἥκω” τὰ παθητικὰ πάντα διὰ τοῦ ι γράφεται· “ἀφίκομαι”, “ἀφικό‐ μην”, “ἀφῖγμαι”, “ἀφίξομαι” Reg.
